"Deferred Expense","المصاريف الآجلة"
"Planned Operating Cost","تكلفة التشغيل المخططة"
"Planned Qty","الكمية المخططة"
"Planned Quantity","الكمية المخططة"
"Planned Start Date","تاريخ البدء المخطط"
"Planned Start Time","وقت البدء المخطط"
"Planning","التخطيط"
"Plans","الخطط"
"Plant Dashboard","لوحة معلومات المصنع"
"PO Supplied Item","صنف مورَّد بأمر شراء"
"Point Allocation Periodicity","دورية تخصيص النقاط"
"Points","النقاط"
"Policy No","رقم البوليصة"
"Policy number","رقم البوليصة"
"Popover Element","عنصر منبثق"
"Popover or Modal Description","وصف العنصر المنبثق أو النافذة الحوارية"
"Port","المنفذ"
"Portal Menu","قائمة البوابة"
"Portal Users","مستخدمو البوابة"
"POS","نقاط البيع"
"POS Field","حقل نقاط البيع"
"POS Invoice Item","بند فاتورة نقاط البيع"
"POS Invoices","فواتير نقاط البيع"
"POS Search Fields","حقول بحث نقاط البيع"
"POS Setting","إعداد نقاط البيع"
"POS Transactions","حركات نقاط البيع"
"Position","المنصب"
"Post Description Key","مفتاح وصف المنشور"
"Post Route Key","مفتاح مسار المنشور"
"Post Route Key List","قائمة مفاتيح مسار المنشور"
"Post Route String","سلسلة مسار المنشور"
"Post Title Key","مفتاح عنوان المنشور"
"Postal Code","الرمز البريدي"
"Posting Date","تاريخ الترحيل"
"Posting Date Inheritance for Exchange Gain / Loss","وراثة تاريخ الترحيل لأرباح / خسائر الصرف"
"Posting Datetime","تاريخ ووقت الترحيل"
"Posting Time","وقت الترحيل"
"Posting Timestamp","الطابع الزمني للترحيل"
"Precision","الدقة"
"Prefered Contact Email","بريد الاتصال المفضل"
"Prefered Email","البريد المفضل"
"Preferred Billing Address","عنوان الفوترة المفضل"
"Preferred Shipping Address","عنوان الشحن المفضل"
"Prefix","البادئة"
"Prevdoc DocType","نوع المستند السابق"
"Prevent POs","منع أوامر الشراء"
"Prevent Purchase Orders","منع أوامر الشراء"
"Prevent RFQs","منع طلبات عروض الأسعار"
"Preventive Action","إجراء وقائي"
"Preview","معاينة"
"Preview Email","معاينة البريد"
"Preview HTML","معاينة HTML"
"Preview Image","معاينة الصورة"
"Preview Message","معاينة الرسالة"
"Preview of generated names","معاينة الأسماء المنشأة"
"Preview Required Materials","معاينة المواد المطلوبة"
"Previous Hash","التجزئة السابقة"
"Previous Work Experience","خبرة العمل السابقة"
"Price Discount Scheme","نظام خصم السعر"
"Price Discount Slabs","شرائح خصم السعر"
"Price List Currency","عملة قائمة الأسعار"
"Price List Defaults","الإعدادات الافتراضية لقائمة الأسعار"
"Price List Exchange Rate","سعر صرف قائمة الأسعار"
"Price List Name","اسم قائمة الأسعار"
"Price List Rate","سعر قائمة الأسعار"
"Price List Rate (Company Currency)","سعر قائمة الأسعار (بعملة الشركة)"
"Price Not UOM Dependent","السعر لا يعتمد على وحدة القياس"
"Price or Product Discount","خصم على السعر أو المنتج"
"Pricing Rule Brand","العلامة التجارية لقاعدة التسعير"
"Pricing Rule Detail","تفاصيل قاعدة التسعير"
"Pricing Rule Help","مساعدة قاعدة التسعير"
"Pricing Rule Item Code","رمز الصنف لقاعدة التسعير"
"Pricing Rule Item Group","مجموعة الأصناف لقاعدة التسعير"
"Pricing Rules","قواعد التسعير"
"Primary Address","العنوان الأساسي"
"Primary Address and Contact","العنوان وجهة الاتصال الأساسيان"
"Primary Color","اللون الأساسي"
"Primary Contact","جهة الاتصال الأساسية"
"Primary Contact Email","بريد جهة الاتصال الأساسية"
"Primary Party","الطرف الأساسي"
"Primary Role","الدور الأساسي"
"Primary Settings","الإعدادات الأساسية"
"Print","طباعة"
"Print Format Builder","منشئ تنسيق الطباعة"
"Print Format Builder Beta","منشئ تنسيق الطباعة (تجريبي)"
"Print Format Help","مساعدة تنسيق الطباعة"
"Print Format Type","نوع تنسيق الطباعة"
"Print Hide","إخفاء عند الطباعة"
"Print Hide If No Value","إخفاء عند الطباعة إذا كانت القيمة فارغة"
"Print Language","لغة الطباعة"
"Print Preferences","تفضيلات الطباعة"
"Print Receipt on Order Complete","طباعة الإيصال عند اكتمال الأمر"
"Print Server","خادم الطباعة"
"Print Style Name","اسم نمط الطباعة"
"Print Style Preview","معاينة نمط الطباعة"
"Print Width","عرض الطباعة"
"Print with letterhead","الطباعة بالترويسة"
"Print Without Amount","الطباعة بدون مبلغ"
"Printer Name","اسم الطابعة"
"Printing Details","تفاصيل الطباعة"
"Printing Settings","إعدادات الطباعة"
"Priorities","الأولويات"
"Priority","الأولوية"
"Private","خاص"
"Private Files (MB)","الملفات الخاصة (ميجابايت)"
"Probability","الاحتمالية"
"Probability (%)","الاحتمالية (%)"
"Problem","المشكلة"
"Procedure","الإجراء"
"Process Description","وصف العملية"
"Process in Single Transaction","المعالجة في حركة واحدة"
"Process Loss","فاقد العملية"
"Process Loss Qty","كمية فاقد العملية"
"Process Owner","مالك العملية"
"Process Owner Full Name","الاسم الكامل لمالك العملية"
"Processed BOMs","قوائم المواد المعالجة"
"Processes","العمليات"
"processlist","قائمة العمليات"
"Produced Qty","الكمية المنتجة"
"Produced Quantity","الكمية المنتجة"
"Product Bundle Help","مساعدة حزمة المنتج"
"Product Bundle Item","بند حزمة المنتج"
"Product Discount Scheme","نظام خصم المنتج"
"Product Discount Slabs","شرائح خصم المنتج"
"Product Price ID","رمز سعر المنتج"
"Production Item","صنف الإنتاج"
"Production Plan Item","بند خطة الإنتاج"
"Production Plan Item Reference","مرجع بند خطة الإنتاج"
"Production Plan Qty","كمية خطة الإنتاج"
"Production Plan Sub Assembly Item","بند التجميع الفرعي لخطة الإنتاج"
"Production Plan Sub-assembly Item","بند التجميع الفرعي لخطة الإنتاج"
"Profile","الملف الشخصي"
"Profit & Loss","الأرباح والخسائر"
"Profit and Loss Summary","ملخص الأرباح والخسائر"
"Progress","التقدم"
"Project Name","اسم المشروع"
"Project Status","حالة المشروع"
"Projected Qty","الكمية المتوقعة"
"Promotional Scheme Id","رمز النظام الترويجي"
"Promotional Scheme Price Discount","خصم سعر النظام الترويجي"
"Promotional Scheme Product Discount","خصم منتج النظام الترويجي"
"Prompt Qty","الكمية الفورية"
"Property","الخاصية"
"Property Depends On","الخاصية تعتمد على"
"Property Type","نوع الخاصية"
"Prorate","توزيع نسبي"
"Prospect Owner","مالك العميل المرتقب"
"Protect Attached Files","حماية الملفات المرفقة"
"Provider","المزوّد"
"Provider Name","اسم المزوّد"
"Provisional Expense Account","حساب المصروفات المؤقت"
"Public","عام"
"Public Files (MB)","الملفات العامة (ميجابايت)"
"Publish","نشر"
"Publish as a web page","النشر كصفحة ويب"
"Publish Date","تاريخ النشر"
"Published","منشور"
"Published On","نُشر بتاريخ"
"Publisher","الناشر"
"Publisher ID","رمز الناشر"
"Publishing Dates","تواريخ النشر"
"Pull from Google Calendar","سحب من تقويم جوجل"
"Pull from Google Contacts","سحب من جهات اتصال جوجل"
"Pulled from Google Calendar","مسحوب من تقويم جوجل"
"Pulled from Google Contacts","مسحوب من جهات اتصال جوجل"
"Purchase Amount","مبلغ الشراء"
"Purchase Date","تاريخ الشراء"
"Purchase Defaults","الإعدادات الافتراضية للشراء"
"Purchase Details","تفاصيل الشراء"
"Purchase Invoice Item","بند فاتورة المشتريات"
"Purchase Order Item","بند أمر الشراء"
"Purchase Order Pricing Rule","قاعدة تسعير أمر الشراء"
"Purchase Orders Items Overdue","بنود أوامر الشراء المتأخرة"
"Purchase Orders to Bill","أوامر الشراء المطلوب فوترتها"
"Purchase Orders to Receive","أوامر الشراء المطلوب استلامها"
"Purchase Receipt Detail","تفاصيل إيصال الاستلام"
"Purchase Receipt Item","بند إيصال الاستلام"
"Purchase Receipt Items","بنود إيصال الاستلام"
"Purchase Receipt No","رقم إيصال الاستلام"
"Purchase Receipts","إيصالات الاستلام"
"Purchase Tax Template","قالب ضريبة الشراء"
"Purchase Taxes and Charges","ضرائب ورسوم المشتريات"
"Purchasing","المشتريات"
"Purpose","الغرض"
"Purposes","الأغراض"
"Push to Google Calendar","دفع إلى تقويم جوجل"
"Push to Google Contacts","دفع إلى جهات اتصال جوجل"
"Qty","الكمية"
"Qty (Company)","الكمية (الشركة)"
"Qty (Warehouse)","الكمية (المستودع)"
"Qty After Transaction","الكمية بعد الحركة"
"Qty and Rate","الكمية والسعر"
"Qty As Per BOM","الكمية حسب قائمة المواد"
"Qty as per Stock UOM","الكمية حسب وحدة قياس المخزون"
"Qty Change","تغير الكمية"
"Qty Consumed Per Unit","الكمية المستهلكة لكل وحدة"
"Qty In Stock","الكمية في المخزون"
"Qty in Stock UOM","الكمية بوحدة قياس المخزون"
"Qty of Finished Goods Item","كمية صنف المنتج النهائي"
"Qty to Be Consumed","الكمية المطلوب استهلاكها"
"Qty To Manufacture","الكمية المطلوب تصنيعها"
"Qty To Produce","الكمية المطلوب إنتاجها"
"Qualification","المؤهل"
"Qualification Status","حالة المؤهل"
"Qualified By","مؤهَّل بواسطة"
"Qualified on","مؤهَّل بتاريخ"
"Quality","الجودة"
"Quality Inspection Required","فحص الجودة مطلوب"
"Quality Inspection Settings","إعدادات فحص الجودة"
"Quality Inspection Template Name","اسم قالب فحص الجودة"
"Quantity","الكمية"
"Quantity & Stock","الكمية والمخزون"
